,0
0,1.0
1,0.974588447624
2,0.970630803346
3,0.973301667515
4,0.857871549366
5,0.98405704651
6,0.986349814404
7,0.961409031802
8,0.899229687358
9,0.9566945961
10,0.899191817805
11,0.970861420306
12,0.853194613308
13,0.996716475644
14,1.0
15,0.958522667374
16,0.876352256395
17,0.995277751694
18,0.867464038006
19,0.945717094065
20,0.851573366973
21,0.97891179969
22,0.962769781227
23,0.959368591774
24,0.994566790375
25,0.986916571298
26,0.951401523846
27,1.0
28,0.94332867734
29,0.918731220839
30,0.914181436161
31,1.0
32,0.971487838927
33,0.915427279455
34,0.947840143714
35,0.961144862188
36,0.915633298616
37,0.89912855342
38,0.99670887895
39,0.994692002933
40,0.97994943196
41,0.93355536991
42,0.982677594755
43,0.889176408808
44,0.980953587519
45,0.906807398676
46,0.986509140249
47,0.891369913647
48,0.979645556155
49,0.998287141884
50,0.969210196196
51,0.912508835709
52,0.940577578423
53,0.973592758544
54,1.0
55,0.934972612169
56,0.878665333223
57,0.941632650014
58,0.761285017065
59,0.974328866284
60,0.893078378294
61,0.956203137169
62,0.985457236969
63,0.885902040641
64,0.894066202334
65,0.978729030906
66,0.988038723818
67,0.889534994256
68,0.920835807637
69,0.9851024858
70,0.993390991968
71,0.988701210046
72,0.99571691805
73,0.978011110154
74,0.980615044715
75,0.985144434543
76,0.882254440045
77,0.885909222296
78,0.998159819491
79,1.0
80,0.968803090126
81,0.97076670393
82,1.0
83,0.989746562702
84,0.991660960739
85,0.968115944285
86,0.892776715346
87,0.995076683296
88,0.89126510664
89,0.997773565395
90,0.995143744083
91,1.0
92,0.94960090648
93,0.924005442715
94,0.995815274896
95,0.969234456967
96,1.0
97,0.904334504684
98,0.888248257396
99,0.994939902853
100,1.0
101,0.989150789904
102,0.964083424169
103,0.989305721092
104,0.997275611787
105,0.857521453029
106,0.893164036437
107,0.835999122516
108,1.0
109,0.928565997476
110,1.0
111,0.909421442593
112,1.0
113,0.98729699915
114,0.902988279299
115,0.996359905019
116,0.998157275156
117,0.888988190962
118,0.98334279383
119,0.93561096251
120,0.810413552243
121,0.975881410131
122,0.934749244619
123,0.989641678244
124,0.980084685852
125,0.751037378852
126,0.939885432178
127,0.987938959063
128,0.929493123888
129,0.998810925099
130,0.943824879428
131,0.990348022091
132,1.0
